point_id,created_at,user_id,point_delta,reason,campaign_id
p_00060555,2025-01-01 06:02:10,u_009356,3,steps_reward,step_promo_default
p_00101352,2025-01-01 06:02:12,u_013058,3,ad_reward,ad_watch_bonus
p_00088366,2025-01-01 06:02:17,u_013651,5,steps_reward,step_promo_default
p_00026411,2025-01-01 06:02:22,u_004086,3,steps_reward,step_promo_default
p_00089490,2025-01-01 06:02:23,u_013821,3,steps_reward,step_promo_default
p_00047072,2025-01-01 06:02:30,u_007256,3,steps_reward,step_promo_default
p_00086537,2025-01-01 06:02:41,u_013377,5,steps_reward,step_promo_default
p_00090050,2025-01-01 06:02:54,u_013897,5,steps_reward,step_promo_default
p_00003389,2025-01-01 06:02:58,u_000531,3,steps_reward,step_promo_default
p_00028954,2025-01-01 06:03:01,u_004468,3,steps_reward,step_promo_default
p_00083527,2025-01-01 06:03:20,u_012920,3,steps_reward,step_promo_default
p_00009686,2025-01-01 06:03:22,u_001502,3,steps_reward,step_promo_default
p_00042247,2025-01-01 06:03:28,u_006510,3,steps_reward,step_promo_default
p_00097001,2025-01-01 06:03:28,u_014980,2,steps_reward,step_promo_default
p_00014254,2025-01-01 06:03:36,u_002214,3,steps_reward,step_promo_default
p_00031924,2025-01-01 06:03:38,u_004936,-1,steps_reward,step_promo_default
p_00065225,2025-01-01 06:03:46,u_010090,3,steps_reward,step_promo_default
p_00020066,2025-01-01 06:03:47,u_003102,3,steps_reward,step_promo_default
p_00059309,2025-01-01 06:03:50,u_009161,3,steps_reward,step_promo_default
p_00010883,2025-01-01 06:03:50,u_001680,3,steps_reward,step_promo_default
p_00093094,2025-01-01 06:04:00,u_014369,3,steps_reward,step_promo_default
p_00038022,2025-01-01 06:04:02,u_005856,5,steps_reward,step_promo_default
p_00105402,2025-01-01 06:04:14,u_010185,3,ad_reward,ad_watch_bonus
p_00033380,2025-01-01 06:04:16,u_005149,5,steps_reward,step_promo_default
p_00084294,2025-01-01 06:04:19,u_013037,3,steps_reward,step_promo_default
p_00036074,2025-01-01 06:04:30,u_005561,3,steps_reward,step_promo_default
p_00050007,2025-01-01 06:04:32,u_007708,3,steps_reward,step_promo_default
p_00062909,2025-01-01 06:04:33,u_009739,3,steps_reward,step_promo_default
p_00070502,2025-01-01 06:04:35,u_010900,3,steps_reward,step_promo_default
p_00056679,2025-01-01 06:04:41,u_008734,4,steps_reward,step_promo_default
p_00070458,2025-01-01 06:04:42,u_010893,5,steps_reward,step_promo_default
p_00063607,2025-01-01 06:04:49,u_009834,3,steps_reward,step_promo_default
p_00037867,2025-01-01 06:04:52,u_005827,3,steps_reward,step_promo_default
p_00083654,2025-01-01 06:04:52,u_012939,5,steps_reward,step_promo_default
p_00038524,2025-01-01 06:04:56,u_005936,-1,steps_reward,step_promo_default
p_00003794,2025-01-01 06:04:56,u_000599,3,steps_reward,step_promo_default
p_00092104,2025-01-01 06:05:05,u_014211,3,steps_reward,step_promo_default
p_00096717,2025-01-01 06:05:05,u_014937,3,steps_reward,step_promo_default
p_00016290,2025-01-01 06:05:06,u_002532,5,steps_reward,step_promo_default
p_00094978,2025-01-01 06:05:17,u_014659,3,steps_reward,step_promo_default
p_00103299,2025-01-01 06:05:20,u_014726,5,ad_reward,ad_watch_bonus
p_00019477,2025-01-01 06:05:21,u_003008,3,steps_reward,step_promo_default
p_00060901,2025-01-01 06:05:30,u_009415,-1,steps_reward,step_promo_default
p_00037227,2025-01-01 06:05:34,u_005738,5,steps_reward,step_promo_default
p_00003842,2025-01-01 06:05:50,u_000604,3,steps_reward,step_promo_default
p_00071234,2025-01-01 06:05:52,u_011011,3,steps_reward,step_promo_default
p_00024049,2025-01-01 06:05:52,u_003724,5,steps_reward,step_promo_default
p_00069932,2025-01-01 06:05:57,u_010811,2,steps_reward,step_promo_default
p_00001193,2025-01-01 06:05:59,u_000197,2,steps_reward,step_promo_default
p_00091222,2025-01-01 06:06:03,u_014076,3,steps_reward,step_promo_default
p_00047691,2025-01-01 06:06:06,u_007352,3,steps_reward,step_promo_default
p_00017696,2025-01-01 06:06:08,u_002745,3,steps_reward,step_promo_default
p_00089824,2025-01-01 06:06:19,u_013866,3,steps_reward,step_promo_default
p_00009862,2025-01-01 06:06:30,u_001526,5,steps_reward,step_promo_default
p_00069746,2025-01-01 06:06:33,u_010786,3,steps_reward,step_promo_default
p_00015917,2025-01-01 06:06:34,u_002472,3,steps_reward,step_promo_default
p_00028533,2025-01-01 06:06:39,u_004409,3,steps_reward,step_promo_default
p_00004697,2025-01-01 06:06:42,u_000740,-1,steps_reward,step_promo_default
p_00065243,2025-01-01 06:06:45,u_010092,3,steps_reward,step_promo_default
p_00062358,2025-01-01 06:06:50,u_009650,3,steps_reward,step_promo_default
p_00081184,2025-01-01 06:06:51,u_012550,-1,steps_reward,step_promo_default
p_00094347,2025-01-01 06:06:59,u_014567,-1,steps_reward,step_promo_default
p_00082497,2025-01-01 06:07:01,u_012750,-1,steps_reward,step_promo_default
p_00063939,2025-01-01 06:07:17,u_009884,-1,steps_reward,step_promo_default
p_00023620,2025-01-01 06:07:19,u_003656,2,steps_reward,step_promo_default
p_00082063,2025-01-01 06:07:24,u_012683,3,steps_reward,step_promo_default
p_00070624,2025-01-01 06:07:24,u_010919,3,steps_reward,step_promo_default
p_00095356,2025-01-01 06:07:44,u_014717,2,steps_reward,step_promo_default
p_00011343,2025-01-01 06:08:06,u_001753,3,steps_reward,step_promo_default
p_00032135,2025-01-01 06:08:07,u_004968,3,steps_reward,step_promo_default
p_00048067,2025-01-01 06:08:09,u_007403,-1,steps_reward,step_promo_default
p_00017144,2025-01-01 06:08:18,u_002658,-1,steps_reward,step_promo_default
p_00036215,2025-01-01 06:08:18,u_005583,5,steps_reward,step_promo_default
p_00033461,2025-01-01 06:08:25,u_005163,3,steps_reward,step_promo_default
p_00049313,2025-01-01 06:08:30,u_007598,3,steps_reward,step_promo_default
p_00035585,2025-01-01 06:08:38,u_005483,-1,steps_reward,step_promo_default
p_00087413,2025-01-01 06:08:38,u_013515,2,steps_reward,step_promo_default
p_00084974,2025-01-01 06:08:40,u_013146,2,steps_reward,step_promo_default
p_00036502,2025-01-01 06:08:43,u_005630,4,steps_reward,step_promo_default
p_00091184,2025-01-01 06:08:44,u_014070,6,steps_reward,step_promo_default
p_00052128,2025-01-01 06:08:52,u_008038,5,steps_reward,step_promo_default
p_00036448,2025-01-01 06:08:55,u_005621,3,steps_reward,step_promo_default
p_00029268,2025-01-01 06:09:04,u_004518,5,steps_reward,step_promo_default
p_00086178,2025-01-01 06:09:14,u_013322,3,steps_reward,step_promo_default
p_00050758,2025-01-01 06:09:21,u_007828,5,steps_reward,step_promo_default
p_00025003,2025-01-01 06:09:26,u_003875,3,steps_reward,step_promo_default
p_00071411,2025-01-01 06:09:28,u_011035,3,steps_reward,step_promo_default
p_00051155,2025-01-01 06:09:28,u_007885,3,steps_reward,step_promo_default
p_00092987,2025-01-01 06:09:29,u_014355,3,steps_reward,step_promo_default
p_00055994,2025-01-01 06:09:32,u_008624,3,steps_reward,step_promo_default
p_00106878,2025-01-01 06:09:33,u_003569,10,ad_reward,ad_watch_bonus
p_00034453,2025-01-01 06:09:34,u_005314,5,steps_reward,step_promo_default
p_00003621,2025-01-01 06:09:45,u_000565,2,steps_reward,step_promo_default
p_00030381,2025-01-01 06:09:47,u_004689,5,steps_reward,step_promo_default
p_00084908,2025-01-01 06:09:53,u_013135,3,steps_reward,step_promo_default
p_00054146,2025-01-01 06:09:58,u_008339,5,steps_reward,step_promo_default
p_00098750,2025-01-01 06:09:59,u_008820,5,ad_reward,ad_watch_bonus
p_00004959,2025-01-01 06:10:01,u_000780,3,steps_reward,step_promo_default
p_00078394,2025-01-01 06:10:04,u_012110,3,steps_reward,step_promo_default
p_00010587,2025-01-01 06:10:12,u_001637,3,steps_reward,step_promo_default
p_00102483,2025-01-01 06:10:15,u_002763,10,ad_reward,ad_watch_bonus
p_00079813,2025-01-01 06:10:26,u_012327,4,steps_reward,step_promo_default
p_00072014,2025-01-01 06:10:32,u_011130,5,steps_reward,step_promo_default
p_00068416,2025-01-01 06:10:32,u_010571,3,steps_reward,step_promo_default
p_00107595,2025-01-01 06:10:36,u_003506,12,ad_reward,ad_watch_bonus
p_00085987,2025-01-01 06:10:36,u_013292,-1,steps_reward,step_promo_default
p_00040544,2025-01-01 06:10:38,u_006253,3,steps_reward,step_promo_default
p_00098923,2025-01-01 06:10:46,u_006914,3,ad_reward,ad_watch_bonus
p_00020242,2025-01-01 06:10:52,u_003129,3,steps_reward,step_promo_default
p_00090146,2025-01-01 06:10:52,u_013910,2,steps_reward,step_promo_default
p_00002132,2025-01-01 06:10:54,u_000340,3,steps_reward,step_promo_default
p_00071821,2025-01-01 06:10:58,u_011099,2,steps_reward,step_promo_default
p_00021811,2025-01-01 06:10:59,u_003375,-1,steps_reward,step_promo_default
p_00097837,2025-01-01 06:11:03,u_011400,10,ad_reward,ad_watch_bonus
p_00037383,2025-01-01 06:11:06,u_005758,2,steps_reward,step_promo_default
p_00093778,2025-01-01 06:11:07,u_014478,3,steps_reward,step_promo_default
p_00000886,2025-01-01 06:11:07,u_000146,-1,steps_reward,step_promo_default
p_00103613,2025-01-01 06:11:07,u_007978,5,ad_reward,ad_watch_bonus
p_00029409,2025-01-01 06:11:11,u_004539,3,steps_reward,step_promo_default
p_00095734,2025-01-01 06:11:12,u_014784,3,steps_reward,step_promo_default
p_00022426,2025-01-01 06:11:13,u_003466,5,steps_reward,step_promo_default
p_00107072,2025-01-01 06:11:16,u_004291,7,ad_reward,ad_watch_bonus
p_00035717,2025-01-01 06:11:17,u_005500,3,steps_reward,step_promo_default
p_00082172,2025-01-01 06:11:22,u_012701,2,steps_reward,step_promo_default
p_00043181,2025-01-01 06:11:24,u_006650,3,steps_reward,step_promo_default
p_00029201,2025-01-01 06:11:31,u_004508,3,steps_reward,step_promo_default
p_00056279,2025-01-01 06:11:35,u_008673,3,steps_reward,step_promo_default
p_00070929,2025-01-01 06:11:37,u_010969,6,steps_reward,step_promo_default
p_00054232,2025-01-01 06:11:50,u_008354,-1,steps_reward,step_promo_default
p_00080797,2025-01-01 06:11:51,u_012484,-1,steps_reward,step_promo_default
p_00015165,2025-01-01 06:11:52,u_002348,2,steps_reward,step_promo_default
p_00054515,2025-01-01 06:11:57,u_008400,3,steps_reward,step_promo_default
p_00009296,2025-01-01 06:12:07,u_001446,-1,steps_reward,step_promo_default
p_00020139,2025-01-01 06:12:10,u_003113,3,steps_reward,step_promo_default
p_00043510,2025-01-01 06:12:11,u_006708,10,steps_reward,step_promo_default
p_00103354,2025-01-01 06:12:12,u_009260,7,ad_reward,ad_watch_bonus
p_00011304,2025-01-01 06:12:27,u_001745,5,steps_reward,step_promo_default
p_00024144,2025-01-01 06:12:28,u_003739,3,steps_reward,step_promo_default
p_00100553,2025-01-01 06:12:28,u_009250,3,ad_reward,ad_watch_bonus
p_00098239,2025-01-01 06:12:46,u_001977,5,ad_reward,ad_watch_bonus
p_00014715,2025-01-01 06:12:56,u_002281,3,steps_reward,step_promo_default
p_00075887,2025-01-01 06:12:58,u_011720,3,steps_reward,step_promo_default
p_00025329,2025-01-01 06:13:12,u_003929,2,steps_reward,step_promo_default
p_00077652,2025-01-01 06:13:17,u_011986,3,steps_reward,step_promo_default
p_00034775,2025-01-01 06:13:18,u_005362,5,steps_reward,step_promo_default
p_00011964,2025-01-01 06:13:27,u_001848,3,steps_reward,step_promo_default
p_00105460,2025-01-01 06:13:28,u_013158,3,ad_reward,ad_watch_bonus
p_00074230,2025-01-01 06:13:28,u_011469,2,steps_reward,step_promo_default
p_00086531,2025-01-01 06:13:29,u_013376,3,steps_reward,step_promo_default
p_00016061,2025-01-01 06:13:30,u_002494,2,steps_reward,step_promo_default
p_00004770,2025-01-01 06:13:36,u_000752,5,steps_reward,step_promo_default
p_00030436,2025-01-01 06:13:36,u_004696,-1,steps_reward,step_promo_default
p_00104175,2025-01-01 06:13:40,u_009418,3,ad_reward,ad_watch_bonus
p_00031798,2025-01-01 06:13:43,u_004919,3,steps_reward,step_promo_default
p_00030040,2025-01-01 06:13:44,u_004637,3,steps_reward,step_promo_default
p_00010275,2025-01-01 06:13:52,u_001591,3,steps_reward,step_promo_default
p_00071774,2025-01-01 06:13:52,u_011093,-1,steps_reward,step_promo_default
p_00070444,2025-01-01 06:13:54,u_010892,3,steps_reward,step_promo_default
p_00005435,2025-01-01 06:13:55,u_000854,3,steps_reward,step_promo_default
p_00017914,2025-01-01 06:13:55,u_002777,3,steps_reward,step_promo_default
p_00059957,2025-01-01 06:13:57,u_009259,2,steps_reward,step_promo_default
p_00072427,2025-01-01 06:14:01,u_011195,2,steps_reward,step_promo_default
p_00003346,2025-01-01 06:14:03,u_000526,5,steps_reward,step_promo_default
p_00107473,2025-01-01 06:14:06,u_013026,5,ad_reward,ad_watch_bonus
p_00045739,2025-01-01 06:14:12,u_007052,3,steps_reward,step_promo_default
p_00040563,2025-01-01 06:14:26,u_006257,3,steps_reward,step_promo_default
p_00050621,2025-01-01 06:14:27,u_007808,3,steps_reward,step_promo_default
p_00020723,2025-01-01 06:14:31,u_003199,3,steps_reward,step_promo_default
p_00049432,2025-01-01 06:14:31,u_007616,-1,steps_reward,step_promo_default
p_00018911,2025-01-01 06:14:32,u_002922,5,steps_reward,step_promo_default
p_00003534,2025-01-01 06:14:35,u_000554,3,steps_reward,step_promo_default
p_00089363,2025-01-01 06:14:41,u_013803,5,steps_reward,step_promo_default
p_00035835,2025-01-01 06:14:46,u_005519,3,steps_reward,step_promo_default
p_00016060,2025-01-01 06:14:48,u_002494,3,steps_reward,step_promo_default
p_00091042,2025-01-01 06:14:58,u_014049,3,steps_reward,step_promo_default
p_00070743,2025-01-01 06:14:59,u_010941,5,steps_reward,step_promo_default
p_00068520,2025-01-01 06:15:01,u_010584,3,steps_reward,step_promo_default
p_00014773,2025-01-01 06:15:08,u_002287,5,steps_reward,step_promo_default
p_00025934,2025-01-01 06:15:13,u_004019,3,steps_reward,step_promo_default
p_00034975,2025-01-01 06:15:21,u_005389,3,steps_reward,step_promo_default
p_00106464,2025-01-01 06:15:25,u_009168,3,ad_reward,ad_watch_bonus
p_00019333,2025-01-01 06:15:26,u_002988,3,steps_reward,step_promo_default
p_00098517,2025-01-01 06:15:29,u_000296,7,ad_reward,ad_watch_bonus
p_00099493,2025-01-01 06:15:30,u_013118,10,ad_reward,ad_watch_bonus
p_00013930,2025-01-01 06:15:43,u_002162,3,steps_reward,step_promo_default
p_00068537,2025-01-01 06:15:45,u_010586,3,steps_reward,step_promo_default
p_00007502,2025-01-01 06:15:46,u_001170,6,steps_reward,step_promo_default
p_00037640,2025-01-01 06:15:47,u_005798,5,steps_reward,step_promo_default
p_00053761,2025-01-01 06:15:48,u_008274,-1,steps_reward,step_promo_default
p_00043646,2025-01-01 06:15:53,u_006728,3,steps_reward,step_promo_default
p_00025076,2025-01-01 06:15:54,u_003885,2,steps_reward,step_promo_default
p_00075797,2025-01-01 06:15:54,u_011705,2,steps_reward,step_promo_default
p_00056576,2025-01-01 06:15:54,u_008720,5,steps_reward,step_promo_default
p_00016264,2025-01-01 06:15:55,u_002527,5,steps_reward,step_promo_default
p_00007822,2025-01-01 06:15:56,u_001221,3,steps_reward,step_promo_default
p_00020786,2025-01-01 06:15:57,u_003208,3,steps_reward,step_promo_default
p_00092725,2025-01-01 06:16:03,u_014309,3,steps_reward,step_promo_default
p_00037552,2025-01-01 06:16:08,u_005785,-1,steps_reward,step_promo_default
p_00060668,2025-01-01 06:16:10,u_009377,3,steps_reward,step_promo_default
p_00084638,2025-01-01 06:16:12,u_013095,2,steps_reward,step_promo_default
p_00014836,2025-01-01 06:16:16,u_002297,2,steps_reward,step_promo_default
p_00069516,2025-01-01 06:16:30,u_010750,2,steps_reward,step_promo_default
p_00061596,2025-01-01 06:16:45,u_009534,3,steps_reward,step_promo_default
p_00013539,2025-01-01 06:16:46,u_002100,-1,steps_reward,step_promo_default
p_00037652,2025-01-01 06:16:50,u_005799,3,steps_reward,step_promo_default
p_00035469,2025-01-01 06:16:51,u_005463,-1,steps_reward,step_promo_default
p_00040848,2025-01-01 06:16:52,u_006303,3,steps_reward,step_promo_default
p_00035009,2025-01-01 06:16:55,u_005393,3,steps_reward,step_promo_default
p_00070250,2025-01-01 06:17:02,u_010861,4,steps_reward,step_promo_default
p_00092988,2025-01-01 06:17:07,u_014355,7,steps_reward,step_promo_default
p_00106954,2025-01-01 06:17:13,u_012420,12,ad_reward,ad_watch_bonus
p_00083143,2025-01-01 06:17:14,u_012859,3,steps_reward,step_promo_default
p_00047847,2025-01-01 06:17:19,u_007375,5,steps_reward,step_promo_default
p_00028236,2025-01-01 06:17:22,u_004365,5,steps_reward,step_promo_default
p_00064267,2025-01-01 06:17:34,u_009940,-1,steps_reward,step_promo_default
p_00031352,2025-01-01 06:17:37,u_004846,-1,steps_reward,step_promo_default
p_00017527,2025-01-01 06:17:44,u_002719,2,steps_reward,step_promo_default
p_00082242,2025-01-01 06:17:47,u_012713,2,steps_reward,step_promo_default
p_00081404,2025-01-01 06:18:00,u_012584,5,steps_reward,step_promo_default
p_00053276,2025-01-01 06:18:07,u_008211,3,steps_reward,step_promo_default
p_00007579,2025-01-01 06:18:12,u_001181,4,steps_reward,step_promo_default
p_00035002,2025-01-01 06:18:13,u_005392,3,steps_reward,step_promo_default
p_00099434,2025-01-01 06:18:15,u_009582,12,ad_reward,ad_watch_bonus
p_00014977,2025-01-01 06:18:18,u_002320,3,steps_reward,step_promo_default
p_00068461,2025-01-01 06:18:23,u_010578,3,steps_reward,step_promo_default
p_00099069,2025-01-01 06:18:32,u_008376,12,ad_reward,ad_watch_bonus
p_00005396,2025-01-01 06:18:34,u_000849,3,steps_reward,step_promo_default
p_00092184,2025-01-01 06:18:37,u_014224,2,steps_reward,step_promo_default
p_00057916,2025-01-01 06:18:46,u_008938,3,steps_reward,step_promo_default
p_00103157,2025-01-01 06:18:51,u_011602,7,ad_reward,ad_watch_bonus
p_00063537,2025-01-01 06:18:54,u_009825,3,steps_reward,step_promo_default
p_00013789,2025-01-01 06:18:56,u_002141,3,steps_reward,step_promo_default
p_00003556,2025-01-01 06:18:59,u_000557,3,steps_reward,step_promo_default
p_00060493,2025-01-01 06:19:00,u_009348,3,steps_reward,step_promo_default
p_00039718,2025-01-01 06:19:09,u_006109,3,steps_reward,step_promo_default
p_00028977,2025-01-01 06:19:12,u_004472,2,steps_reward,step_promo_default
p_00023880,2025-01-01 06:19:17,u_003696,3,steps_reward,step_promo_default
p_00090504,2025-01-01 06:19:21,u_013968,5,steps_reward,step_promo_default
p_00039901,2025-01-01 06:19:35,u_006140,2,steps_reward,step_promo_default
p_00037909,2025-01-01 06:19:49,u_005835,3,steps_reward,step_promo_default
p_00026516,2025-01-01 06:19:50,u_004101,-1,steps_reward,step_promo_default
p_00053041,2025-01-01 06:19:59,u_008175,2,steps_reward,step_promo_default
p_00104988,2025-01-01 06:20:14,u_009802,5,ad_reward,ad_watch_bonus
p_00035616,2025-01-01 06:20:29,u_005487,3,steps_reward,step_promo_default
p_00050375,2025-01-01 06:20:35,u_007764,3,steps_reward,step_promo_default
p_00067533,2025-01-01 06:20:40,u_010442,3,steps_reward,step_promo_default
p_00070302,2025-01-01 06:20:41,u_010870,3,steps_reward,step_promo_default
p_00003571,2025-01-01 06:20:43,u_000558,3,steps_reward,step_promo_default
p_00000113,2025-01-01 06:20:44,u_000020,5,steps_reward,step_promo_default
p_00006618,2025-01-01 06:20:51,u_001034,3,steps_reward,step_promo_default
p_00013079,2025-01-01 06:21:06,u_002031,3,steps_reward,step_promo_default
p_00099987,2025-01-01 06:21:06,u_005862,5,ad_reward,ad_watch_bonus
p_00065697,2025-01-01 06:21:13,u_010160,3,steps_reward,step_promo_default
p_00055479,2025-01-01 06:21:13,u_008550,5,steps_reward,step_promo_default
p_00003998,2025-01-01 06:21:23,u_000627,3,steps_reward,step_promo_default
p_00062492,2025-01-01 06:21:32,u_009672,3,steps_reward,step_promo_default
p_00069001,2025-01-01 06:21:35,u_010661,2,steps_reward,step_promo_default
p_00030577,2025-01-01 06:21:35,u_004716,3,steps_reward,step_promo_default
p_00025247,2025-01-01 06:21:36,u_003916,3,steps_reward,step_promo_default
p_00076183,2025-01-01 06:21:38,u_011762,3,steps_reward,step_promo_default
p_00106337,2025-01-01 06:21:40,u_011431,5,ad_reward,ad_watch_bonus
p_00025935,2025-01-01 06:21:42,u_004019,2,steps_reward,step_promo_default
p_00049012,2025-01-01 06:21:42,u_007554,-1,steps_reward,step_promo_default
p_00095546,2025-01-01 06:21:43,u_014747,3,steps_reward,step_promo_default
p_00072580,2025-01-01 06:21:44,u_011220,3,steps_reward,step_promo_default
p_00046671,2025-01-01 06:21:59,u_007193,-1,steps_reward,step_promo_default
p_00042818,2025-01-01 06:22:05,u_006597,3,steps_reward,step_promo_default
p_00058783,2025-01-01 06:22:07,u_009078,3,steps_reward,step_promo_default
p_00011259,2025-01-01 06:22:08,u_001737,2,steps_reward,step_promo_default
p_00093965,2025-01-01 06:22:13,u_014508,-1,steps_reward,step_promo_default
p_00100169,2025-01-01 06:22:17,u_013005,12,ad_reward,ad_watch_bonus
p_00041366,2025-01-01 06:22:26,u_006380,-1,steps_reward,step_promo_default
p_00051897,2025-01-01 06:22:33,u_008001,5,steps_reward,step_promo_default
p_00004126,2025-01-01 06:22:37,u_000648,3,steps_reward,step_promo_default
p_00055527,2025-01-01 06:22:41,u_008556,3,steps_reward,step_promo_default
p_00044312,2025-01-01 06:22:44,u_006830,-1,steps_reward,step_promo_default
p_00096633,2025-01-01 06:22:58,u_014924,-1,steps_reward,step_promo_default
p_00034026,2025-01-01 06:23:06,u_005244,10,steps_reward,step_promo_default
p_00056332,2025-01-01 06:23:06,u_008681,3,steps_reward,step_promo_default
p_00095622,2025-01-01 06:23:09,u_014760,5,steps_reward,step_promo_default
p_00086971,2025-01-01 06:23:13,u_013449,4,steps_reward,step_promo_default
p_00035612,2025-01-01 06:23:17,u_005486,-1,steps_reward,step_promo_default
p_00025963,2025-01-01 06:23:20,u_004022,2,steps_reward,step_promo_default
p_00024775,2025-01-01 06:23:23,u_003842,3,steps_reward,step_promo_default
p_00047246,2025-01-01 06:23:25,u_007288,-1,steps_reward,step_promo_default
p_00058212,2025-01-01 06:23:29,u_008987,3,steps_reward,step_promo_default
p_00041777,2025-01-01 06:23:31,u_006441,3,steps_reward,step_promo_default
p_00032134,2025-01-01 06:23:31,u_004968,3,steps_reward,step_promo_default
p_00080527,2025-01-01 06:23:42,u_012444,-1,steps_reward,step_promo_default
p_00063474,2025-01-01 06:23:44,u_009817,3,steps_reward,step_promo_default
p_00101699,2025-01-01 06:23:45,u_004266,7,ad_reward,ad_watch_bonus
p_00105957,2025-01-01 06:23:47,u_008274,10,ad_reward,ad_watch_bonus
p_00085414,2025-01-01 06:23:47,u_013211,2,steps_reward,step_promo_default
p_00043674,2025-01-01 06:24:04,u_006732,3,steps_reward,step_promo_default
p_00089795,2025-01-01 06:24:12,u_013862,3,steps_reward,step_promo_default
p_00089703,2025-01-01 06:24:15,u_013848,3,steps_reward,step_promo_default
p_00063592,2025-01-01 06:24:16,u_009832,5,steps_reward,step_promo_default
p_00100775,2025-01-01 06:24:28,u_010055,12,ad_reward,ad_watch_bonus
p_00060638,2025-01-01 06:24:39,u_009371,5,steps_reward,step_promo_default
p_00049167,2025-01-01 06:24:43,u_007575,3,steps_reward,step_promo_default
p_00073599,2025-01-01 06:24:50,u_011369,5,steps_reward,step_promo_default
p_00047271,2025-01-01 06:24:57,u_007292,3,steps_reward,step_promo_default
p_00049826,2025-01-01 06:25:06,u_007677,3,steps_reward,step_promo_default
p_00074712,2025-01-01 06:25:15,u_011541,3,steps_reward,step_promo_default
p_00012483,2025-01-01 06:25:22,u_001936,3,steps_reward,step_promo_default
p_00083801,2025-01-01 06:25:25,u_012963,2,steps_reward,step_promo_default
p_00097765,2025-01-01 06:25:26,u_008568,3,ad_reward,ad_watch_bonus
p_00030753,2025-01-01 06:25:27,u_004747,6,steps_reward,step_promo_default
p_00077318,2025-01-01 06:25:30,u_011934,3,steps_reward,step_promo_default
p_00053657,2025-01-01 06:25:42,u_008260,3,steps_reward,step_promo_default
p_00098795,2025-01-01 06:25:45,u_014355,3,ad_reward,ad_watch_bonus
p_00043576,2025-01-01 06:25:53,u_006717,3,steps_reward,step_promo_default
p_00031853,2025-01-01 06:25:58,u_004926,2,steps_reward,step_promo_default
