user_id,group,signup_date,country,baseline_steps_7d,steps_7d,reward_points_7d,ad_revenue_7d,is_retained_d7
u_007046,test,2024-12-06,JP,4442,32363,53,2.41,1
u_008624,test,2024-11-22,US,1696,14492,35,0.94,0
u_009400,test,2024-12-26,JP,7442,52964,111,5.37,1
u_005042,control,2024-11-25,KR,2151,15060,25,1.49,0
u_000874,control,2024-12-10,KR,5947,53015,94,4.68,1
u_009561,test,2024-11-07,JP,7053,57326,94,2.7,1
u_014563,control,2024-12-19,JP,7798,43496,68,4.03,1
u_001767,test,2024-11-10,KR,7766,61990,132,4.8,1
u_008442,test,2024-11-07,KR,4817,34194,71,3.54,1
u_006768,control,2024-11-25,KR,5806,43823,107,4.77,1
u_005383,control,2024-11-09,KR,5233,34033,70,0.96,1
u_002858,control,2024-11-12,KR,2645,20106,40,1.71,0
u_007739,control,2024-12-14,KR,3741,28346,51,3.07,1
u_003797,control,2024-11-12,KR,10585,78688,133,5.11,1
u_013578,test,2024-12-25,KR,2420,17585,35,1.59,0
u_005663,control,2024-12-21,US,7120,41659,98,2.41,0
u_010268,test,2024-11-05,KR,4684,42212,67,2.6,1
u_014354,test,2024-12-24,JP,4200,34243,84,1.96,0
u_007026,test,2024-11-04,KR,4857,41096,89,1.11,1
u_011542,control,2024-11-27,KR,4070,34093,66,3.0,1
u_014582,test,2024-12-31,KR,5445,44601,95,1.59,0
u_001405,control,2024-11-25,KR,6119,48323,75,4.81,0
u_012212,test,2024-12-05,JP,8264,77934,134,4.14,1
u_006414,test,2024-11-13,KR,6118,45489,69,4.79,1
u_009802,control,2024-11-16,KR,1976,11392,17,0.7,0
u_002788,test,2024-12-24,JP,5518,51577,82,5.2,1
u_002877,test,2024-12-03,KR,5658,46043,74,1.49,1
u_005416,control,2024-12-14,JP,7065,43036,92,2.81,0
u_008093,test,2024-11-01,KR,6220,42926,69,1.33,1
u_013217,test,2024-11-18,KR,7638,54509,124,3.02,1
u_005701,control,2024-12-07,US,6634,48982,78,2.37,0
u_001025,control,2024-12-03,KR,5951,47192,101,4.9,0
u_012670,control,2024-11-09,KR,4679,35770,61,2.79,1
u_001703,test,2024-12-09,KR,7060,50247,88,2.01,0
u_001533,test,2024-12-12,KR,6648,43588,72,1.17,0
u_004602,test,2024-11-23,JP,8665,60886,148,5.67,1
u_008613,control,2024-11-21,KR,7108,52851,107,4.08,0
u_013227,control,2024-11-26,KR,6947,45878,98,3.01,0
u_010135,test,2024-11-04,US,8893,75954,163,5.36,1
u_000612,test,2024-12-04,KR,5006,38451,74,1.9,1
u_009353,test,2024-11-08,KR,4266,33792,70,3.71,1
u_013671,test,2024-11-15,KR,4372,40286,65,3.16,0
u_002300,test,2024-12-09,KR,4351,31511,59,2.7,0
u_011147,control,2024-12-05,JP,3200,22405,43,1.95,0
u_006485,control,2024-12-16,US,6249,45551,74,4.92,1
u_010264,control,2024-11-11,KR,5210,45675,81,4.04,0
u_004332,test,2024-11-18,KR,5737,46377,112,3.0,1
u_004286,control,2024-11-30,KR,881,5738,12,0.47,1
u_001162,control,2024-11-21,US,6360,42412,73,4.51,1
u_004080,test,2024-11-06,KR,6213,38976,78,1.61,0
u_012000,test,2024-11-10,JP,4973,42544,79,1.17,1
u_007089,control,2024-11-27,KR,7506,48787,90,4.48,1
u_007193,test,2024-12-13,JP,2979,27046,53,1.82,1
u_007206,test,2024-12-31,JP,5246,46731,114,4.93,0
u_011727,test,2024-11-18,KR,7185,50087,94,3.67,1
u_003253,control,2024-11-09,JP,6412,47034,75,1.33,0
u_011529,test,2024-12-23,KR,4017,31169,55,3.16,0
u_007651,control,2024-11-10,JP,7275,51099,116,4.25,0
u_011590,test,2024-11-18,JP,3079,20142,38,2.07,0
u_011446,control,2024-12-27,KR,4893,34642,60,2.91,1
u_000084,test,2024-12-15,KR,5136,38751,65,2.36,1
u_006469,control,2024-11-27,KR,4552,28022,48,2.92,0
u_013166,control,2024-12-27,KR,6114,46048,74,3.92,1
u_011301,control,2024-12-23,KR,6391,41670,87,2.1,1
u_014919,control,2024-12-10,KR,8750,51166,82,2.56,0
u_003012,control,2024-11-03,KR,5677,45433,97,1.47,1
u_009309,test,2024-12-05,KR,4353,22919,53,1.84,0
u_004556,control,2024-12-05,KR,6225,34489,75,1.35,0
u_003443,test,2024-11-25,US,6423,55665,126,2.96,1
u_013425,control,2024-11-27,KR,7385,54359,103,2.94,0
u_008828,test,2024-11-01,JP,2926,17370,39,1.85,1
u_005252,control,2024-12-15,KR,5467,37335,56,1.41,0
u_003821,test,2024-11-24,US,5833,52098,121,1.34,1
u_012366,test,2024-11-22,US,2237,20812,32,1.11,0
u_012075,test,2024-11-02,KR,6484,38680,81,3.23,1
u_008678,control,2024-11-12,KR,5883,38197,94,1.37,1
u_010293,test,2024-12-19,KR,9003,72373,126,3.07,0
u_012241,test,2024-11-02,KR,4756,46479,70,1.22,1
u_005709,test,2024-11-25,JP,5415,44091,104,4.16,1
u_012883,control,2024-11-02,KR,8375,53442,96,2.69,1
u_013463,test,2024-11-07,US,4893,39075,95,1.03,0
u_013773,test,2024-12-21,JP,4304,41156,99,3.58,1
u_010483,test,2024-12-09,KR,3333,17183,39,1.16,0
u_002019,test,2024-12-26,US,6774,50225,99,4.88,0
u_000226,control,2024-12-27,KR,5556,33833,79,1.82,1
u_012649,control,2024-11-10,JP,6050,32923,77,3.53,0
u_013159,control,2024-12-14,KR,4574,25962,63,2.49,0
u_013080,control,2024-12-10,JP,3201,21475,49,0.91,1
u_009773,test,2024-12-23,KR,7407,68560,134,2.91,1
u_014227,control,2024-11-29,KR,4861,41903,101,2.5,1
u_003305,test,2024-11-28,JP,1840,11716,21,1.13,0
u_013653,control,2024-12-23,JP,6904,40677,85,1.82,1
u_007602,control,2024-12-09,US,2305,16778,35,1.26,0
u_011365,control,2024-12-16,KR,7481,41374,101,2.47,1
u_000965,control,2024-11-20,KR,6499,51472,108,2.36,1
u_014535,control,2024-11-02,US,5645,36433,57,3.2,1
u_005231,test,2024-11-09,KR,3882,26580,64,1.5,1
u_004133,control,2024-11-23,JP,5089,42017,101,4.56,1
u_000285,test,2024-11-23,KR,6101,48390,115,4.1,1
u_000071,control,2024-12-28,KR,5976,40227,79,2.81,1
u_003617,control,2024-12-01,KR,3975,33167,79,0.94,1
u_001235,test,2024-12-20,US,7244,46618,105,4.09,1
u_013546,control,2024-12-20,JP,6898,36269,60,2.91,0
u_009902,test,2024-11-15,US,6510,44150,81,3.82,1
u_005403,test,2024-11-05,KR,8992,77731,127,3.3,1
u_009008,test,2024-11-17,JP,1920,18121,27,1.26,1
u_014678,test,2024-11-25,KR,3715,25247,48,0.87,0
u_003020,control,2024-12-11,JP,4529,39015,93,1.45,1
u_010806,control,2024-11-01,KR,7534,45153,98,2.22,1
u_013684,control,2024-12-19,KR,5453,33790,64,2.87,0
u_012382,test,2024-12-30,US,5815,37528,78,3.0,1
u_012588,control,2024-11-16,KR,4788,32554,63,3.17,1
u_012293,control,2024-12-06,KR,6679,40614,66,3.79,1
u_013668,test,2024-12-19,JP,6390,50061,87,3.62,1
u_004143,control,2024-12-14,JP,4856,32917,77,2.16,1
u_012167,control,2024-12-31,JP,5921,35969,89,1.22,0
u_010034,test,2024-11-28,US,7349,65048,116,4.89,1
u_009630,control,2024-11-10,US,3494,20537,44,0.78,0
u_006595,test,2024-11-03,KR,3686,27538,60,2.45,0
u_002622,test,2024-12-19,KR,3660,27750,50,2.78,0
u_004131,test,2024-12-24,KR,4618,34432,65,3.75,1
u_011893,test,2024-12-17,KR,6579,57997,90,5.55,0
u_000477,control,2024-11-10,JP,6915,63667,96,4.96,1
u_003279,control,2024-12-29,JP,8441,71140,115,5.89,1
u_002187,test,2024-12-22,JP,6171,49601,87,4.22,1
u_006751,control,2024-12-28,US,6029,35213,73,3.33,1
u_007114,test,2024-12-27,JP,8560,46088,77,1.68,1
u_002090,test,2024-12-03,KR,6112,47196,111,4.21,1
u_004314,test,2024-12-01,KR,3149,34216,51,2.58,1
u_003590,control,2024-11-22,JP,11233,83439,153,8.87,1
u_000195,control,2024-11-01,KR,8043,62579,103,3.32,1
u_014971,test,2024-12-26,KR,3609,23420,40,1.82,1
u_002272,test,2024-11-19,KR,2226,16569,32,0.91,1
u_010520,control,2024-12-25,KR,8187,54190,121,1.79,1
u_009757,control,2024-12-22,US,4786,44481,83,1.67,1
u_010000,control,2024-12-24,JP,1862,13823,29,0.62,1
u_001157,test,2024-11-19,KR,5079,46739,101,2.34,1
u_002654,test,2024-12-04,KR,6928,58810,101,3.64,1
u_004555,test,2024-11-01,KR,5958,35474,80,3.3,1
u_010137,test,2024-12-25,US,4893,41055,62,3.53,1
u_012654,test,2024-11-09,JP,6554,34763,58,3.57,1
u_014261,test,2024-11-24,KR,5833,51035,87,4.87,0
u_008813,control,2024-11-05,KR,3218,25811,54,1.41,1
u_005246,control,2024-11-01,KR,5948,45797,99,4.49,1
u_011334,test,2024-12-27,KR,3341,27053,58,2.04,1
u_009249,control,2024-11-07,KR,6950,44505,75,3.23,1
u_008541,test,2024-11-03,JP,5825,39047,86,1.88,1
u_001478,test,2024-11-08,US,9922,81826,162,3.49,0
u_006194,test,2024-12-04,JP,4170,44758,68,4.79,1
u_007995,control,2024-12-16,US,3090,24213,59,0.93,1
u_009858,test,2024-12-28,KR,5543,39289,69,1.47,1
u_014691,control,2024-12-27,KR,5499,36310,59,3.45,1
u_010441,control,2024-12-24,KR,7075,49963,85,2.1,0
u_004175,test,2024-11-16,JP,6412,52924,118,5.67,1
u_009783,test,2024-11-17,KR,4892,24510,49,2.15,0
u_005374,control,2024-12-22,KR,5277,42788,83,3.67,0
u_002325,control,2024-12-02,KR,5199,38524,77,3.47,1
u_010966,control,2024-12-15,US,6480,46563,83,2.05,1
u_002733,test,2024-12-01,KR,5026,40269,85,4.03,0
u_002204,control,2024-12-02,KR,6589,50916,87,1.57,1
u_014233,control,2024-11-13,KR,5414,36607,70,2.68,1
u_005366,test,2024-11-22,US,10530,81010,130,5.69,1
u_013338,control,2024-12-29,KR,6376,48017,74,5.03,1
u_005641,control,2024-11-27,US,5941,55607,103,4.92,1
u_013160,test,2024-12-15,KR,6853,67779,118,2.35,1
u_004376,control,2024-11-21,KR,5188,31371,62,0.9,1
u_001154,control,2024-12-12,US,4653,24609,52,2.19,1
u_001802,control,2024-12-17,US,6188,42053,98,4.59,0
u_012374,test,2024-12-24,US,5654,48677,85,4.32,1
u_013631,test,2024-11-07,KR,3167,24616,45,2.48,1
u_004000,test,2024-12-07,JP,6124,47994,97,4.72,1
u_012346,test,2024-11-03,KR,6322,48681,108,3.6,1
u_008980,control,2024-11-09,JP,6582,65852,163,6.74,0
u_014337,control,2024-11-28,KR,4431,28177,55,2.18,0
u_008293,control,2024-11-07,KR,6013,45794,78,1.52,1
u_013873,control,2024-11-06,JP,0,1072,2,0.09,0
u_014070,control,2024-12-07,US,7182,51490,92,4.97,1
u_010776,test,2024-11-07,JP,5144,48767,98,4.81,1
u_005733,test,2024-11-18,US,10708,85814,153,2.9,1
u_007248,test,2024-11-21,KR,5783,42150,90,2.68,1
u_004640,test,2024-12-05,KR,7495,58131,125,1.63,1
u_008422,test,2024-11-27,JP,4574,36758,57,1.69,1
u_004243,test,2024-11-10,KR,7812,62031,124,6.15,1
u_008742,test,2024-11-10,KR,5787,40179,61,2.14,0
u_012757,test,2024-11-30,KR,6102,53042,105,2.61,1
u_000693,control,2024-12-25,KR,9094,55830,117,5.86,1
u_000521,control,2024-11-09,JP,1455,10995,16,1.12,0
u_000158,control,2024-12-22,US,5694,47910,104,3.09,1
u_011127,test,2024-11-13,US,8196,77429,184,2.31,1
u_007703,test,2024-11-01,KR,4664,35391,55,2.31,0
u_010614,test,2024-11-06,JP,4790,33850,75,1.8,0
u_013770,control,2024-12-06,JP,5493,40653,84,2.48,1
u_001198,control,2024-12-11,US,3544,29881,52,2.05,0
u_003979,test,2024-11-24,JP,6771,46228,91,3.45,1
u_003352,control,2024-12-06,JP,6643,55538,123,2.32,1
u_011003,test,2024-12-03,US,5403,50696,112,4.04,1
u_007015,test,2024-11-28,KR,8418,70695,120,3.72,1
u_008461,test,2024-11-30,US,7489,53860,110,2.05,0
u_010003,test,2024-12-10,US,8185,66621,137,6.51,1
u_003856,test,2024-11-26,JP,3772,26849,44,2.41,0
u_012133,control,2024-12-15,KR,5345,32305,58,3.42,0
u_007895,test,2024-12-03,JP,6027,54679,84,3.44,0
u_011649,test,2024-11-21,US,6227,51752,126,3.74,0
u_001766,test,2024-12-06,KR,3440,18935,39,1.11,0
u_010331,test,2024-11-20,KR,4877,31257,71,2.6,0
u_014237,test,2024-11-18,KR,3543,25991,47,2.69,1
u_011942,control,2024-12-16,KR,5448,49825,102,5.28,1
u_014995,test,2024-11-15,KR,4070,26950,64,1.39,0
u_010734,test,2024-11-02,KR,5288,35900,72,1.24,1
u_002580,control,2024-11-21,JP,6358,44578,71,2.03,1
u_001139,control,2024-12-12,US,6099,46581,105,3.66,1
u_007020,control,2024-11-27,JP,5505,25071,57,1.44,0
u_001809,control,2024-12-13,KR,4201,27043,49,1.45,1
u_002861,control,2024-11-01,US,5223,39874,64,1.32,1
u_000515,test,2024-11-21,KR,4786,44761,91,4.37,1
u_005694,test,2024-11-23,JP,5661,53585,123,4.26,1
u_009804,control,2024-12-24,JP,5214,39056,87,3.54,1
u_008298,control,2024-12-25,US,4121,30470,60,1.41,0
u_011388,test,2024-12-21,KR,9506,67464,115,5.27,1
u_006650,control,2024-11-20,JP,4868,37573,74,1.88,1
u_010369,test,2024-12-07,KR,3238,29540,59,1.56,1
u_002783,test,2024-12-31,JP,6271,35521,60,3.36,1
u_004879,test,2024-11-18,JP,5345,35384,69,1.47,1
u_013246,control,2024-12-16,JP,6163,45305,95,1.63,0
u_002702,control,2024-11-12,JP,7038,36193,59,1.17,1
u_000650,test,2024-11-02,KR,6733,43866,80,2.2,1
u_008744,control,2024-11-12,KR,4141,25594,55,1.69,1
u_003064,control,2024-12-05,KR,4055,35764,60,1.84,0
u_001224,control,2024-12-26,KR,5876,44503,90,2.64,1
u_011784,control,2024-11-11,KR,9767,70704,120,4.68,0
u_012424,test,2024-12-22,KR,3834,30897,58,1.74,1
u_011437,test,2024-11-03,KR,4908,40089,65,1.71,1
u_003088,control,2024-12-31,KR,6278,50227,124,2.88,1
u_000491,test,2024-11-28,JP,5600,48306,74,2.94,1
u_009372,control,2024-12-30,KR,5140,32632,69,2.43,0
u_006261,control,2024-12-28,KR,6812,48406,93,4.73,1
u_012343,control,2024-12-28,JP,5418,41376,73,2.88,1
u_007512,control,2024-12-09,KR,7797,60597,146,4.4,0
u_008943,control,2024-12-18,KR,7688,52399,112,4.63,0
u_010277,test,2024-11-11,JP,3224,29567,72,2.16,0
u_003244,test,2024-11-29,KR,5089,42655,101,1.42,1
u_012775,test,2024-12-25,US,7463,67521,164,5.76,1
u_004444,test,2024-12-13,JP,2637,19738,46,1.75,1
u_009866,test,2024-12-26,KR,5238,28398,48,1.6,1
u_003101,test,2024-11-29,JP,6174,45622,108,3.97,1
u_001945,test,2024-12-25,JP,6088,43497,86,3.31,1
u_008014,test,2024-12-11,JP,4022,30082,71,2.97,1
u_009129,control,2024-12-12,JP,4372,37843,84,2.49,1
u_003208,control,2024-11-30,KR,8069,35932,70,3.44,1
u_003861,control,2024-11-15,US,3036,21490,42,1.99,0
u_001361,test,2024-11-28,KR,5642,34242,71,3.1,1
u_009131,control,2024-12-29,KR,6742,49937,93,1.33,1
u_001543,test,2024-12-28,KR,6645,43751,106,4.65,1
u_002118,control,2024-12-07,KR,6972,51664,128,4.29,1
u_014978,test,2024-12-23,KR,5609,49102,84,3.88,1
u_014113,control,2024-12-10,KR,996,8175,18,0.47,1
u_013410,control,2024-11-23,KR,3972,27882,43,2.74,1
u_000052,control,2024-12-04,US,5265,29561,70,1.33,0
u_013129,control,2024-12-09,US,8466,52949,95,2.84,0
u_007800,control,2024-12-03,US,3084,23044,55,0.8,0
u_006774,test,2024-12-16,US,7871,57964,137,6.18,1
u_012053,control,2024-12-20,KR,6184,45349,88,4.82,1
u_002367,test,2024-12-04,KR,3102,22969,56,1.77,0
u_011084,test,2024-12-27,KR,3039,26016,57,1.97,1
u_013366,test,2024-11-11,KR,6237,51993,122,5.04,0
u_004548,test,2024-11-05,KR,4082,23210,53,2.2,0
u_002299,control,2024-11-22,KR,4001,32543,80,2.51,0
u_013039,test,2024-11-02,KR,5397,46657,105,4.17,1
u_008740,control,2024-11-18,JP,4856,36168,74,3.73,0
u_013697,test,2024-11-25,US,5579,41421,103,1.96,0
u_005336,test,2024-11-23,US,7073,54803,91,3.82,0
u_003364,control,2024-11-30,KR,4171,29091,52,1.88,0
u_013473,test,2024-12-03,JP,2223,18137,44,1.43,1
u_014559,control,2024-12-28,KR,5410,29251,70,2.12,1
u_000541,control,2024-11-20,KR,7166,42415,91,3.45,1
u_012571,test,2024-11-21,KR,4739,34095,78,1.48,0
u_004381,control,2024-12-19,KR,3852,28596,53,2.09,0
u_001958,control,2024-12-03,JP,2244,11980,22,0.43,0
u_005229,control,2024-11-08,US,5145,34729,54,3.63,1
u_014418,control,2024-12-11,KR,5827,47252,100,3.38,1
u_004528,test,2024-11-13,US,4880,34936,86,0.9,0
u_007074,control,2024-12-05,KR,8535,56652,95,2.94,0
u_004822,control,2024-11-09,JP,5752,47358,79,2.43,1
u_005455,test,2024-11-27,KR,2091,15661,27,0.41,1
u_003365,test,2024-11-08,US,4341,35742,57,3.65,0
u_002887,control,2024-11-16,KR,4381,32526,67,2.66,0
u_000983,test,2024-11-26,KR,6680,53455,86,4.63,1
u_012252,control,2024-12-07,KR,3960,32246,59,2.0,1
u_003478,test,2024-12-17,JP,6655,57811,89,3.25,1
u_001410,control,2024-12-25,JP,5574,33926,78,1.18,0
u_002055,test,2024-12-30,KR,6853,54390,111,1.91,1
u_002677,control,2024-12-11,JP,1424,11423,27,0.62,1
u_010948,control,2024-11-09,KR,4608,30626,51,2.0,1
u_011329,control,2024-11-25,JP,4008,25741,52,0.84,1
u_001621,test,2024-11-17,KR,8353,67462,154,6.89,1
u_010570,control,2024-12-12,JP,4174,37046,58,1.9,0
u_006389,test,2024-11-06,KR,3154,19997,46,0.98,1
u_000701,test,2024-11-19,US,3819,30748,50,0.9,1
u_003418,control,2024-11-10,KR,7292,56620,90,1.65,1
u_000428,test,2024-11-29,KR,3024,29543,45,2.31,0
u_012613,control,2024-12-20,KR,4860,39877,97,3.6,1
u_010595,control,2024-11-09,KR,5013,39369,90,3.54,0
u_007832,control,2024-11-29,JP,6456,56978,105,2.81,1
u_009806,control,2024-11-17,JP,7094,48883,73,3.57,0
u_006699,test,2024-11-22,KR,6866,64745,124,5.85,1
u_010982,control,2024-12-18,KR,1998,15287,24,0.54,0
u_009801,control,2024-12-15,KR,7814,65340,132,6.4,1
u_011572,control,2024-12-15,KR,3313,19969,46,1.19,1
u_010018,control,2024-12-31,KR,3431,21727,46,2.09,0
u_002710,test,2024-11-14,JP,4368,37797,69,1.06,0
u_002642,control,2024-11-22,KR,4832,32656,62,3.07,1
u_000486,control,2024-12-16,KR,5378,46373,84,2.84,1
u_000342,test,2024-11-16,US,5481,38217,71,1.18,1
u_010670,control,2024-11-19,US,6420,40575,87,3.18,1
u_005398,control,2024-12-14,JP,3572,28962,65,2.88,1
u_007894,test,2024-12-17,KR,7415,50770,107,2.11,1
u_010115,control,2024-11-22,KR,3711,30400,60,2.67,0
u_001387,control,2024-11-24,JP,1653,13370,20,1.16,1
u_005153,control,2024-12-05,KR,8116,58373,141,2.99,1
u_005779,test,2024-12-30,JP,6726,56048,130,5.28,1
u_014926,control,2024-11-21,JP,4002,26241,60,0.91,1
u_002648,control,2024-12-13,KR,3560,31166,46,3.12,1
u_013318,test,2024-11-01,JP,2942,20599,43,0.59,1
u_000123,control,2024-12-22,KR,6874,40346,67,1.46,1
u_011661,test,2024-11-07,KR,2163,16615,38,0.44,0
u_005317,control,2024-11-26,JP,2000,14173,32,1.1,1
u_008692,control,2024-12-10,KR,5825,35018,65,3.1,1
u_003931,control,2024-12-02,KR,3175,15691,30,0.83,0
u_003606,test,2024-12-14,JP,4603,39414,70,4.32,1
u_009165,test,2024-12-05,JP,5126,44287,101,1.29,1
u_013926,control,2024-11-22,JP,4732,39341,65,1.44,0
u_004785,test,2024-12-02,JP,6127,32795,69,3.55,1
u_006870,test,2024-11-13,KR,6443,52776,130,3.39,0
u_011554,control,2024-11-28,US,5217,35781,60,3.06,1
u_003900,test,2024-12-15,KR,3287,24821,47,0.9,0
u_005379,control,2024-11-18,KR,932,6806,14,0.72,0
u_009142,control,2024-12-22,KR,6134,47769,87,1.25,0
u_007631,control,2024-12-20,US,4691,25653,39,1.93,0
u_001647,control,2024-11-12,JP,5130,40389,92,2.31,1
u_009374,control,2024-12-19,KR,1554,13200,29,0.63,1
u_009110,control,2024-11-25,KR,4287,31980,74,0.81,1
u_006362,control,2024-11-20,US,4099,26228,63,2.52,1
u_009998,test,2024-12-04,US,3350,27636,42,2.72,0
u_014318,test,2024-12-02,JP,2504,20248,30,0.76,1
u_007107,control,2024-11-02,JP,5693,43679,105,3.22,1
u_009516,control,2024-11-16,JP,7693,57167,139,2.58,0
u_002900,control,2024-11-29,KR,7604,59258,91,3.64,0
u_013325,control,2024-11-20,KR,8207,48233,104,4.77,1
u_010985,control,2024-12-23,KR,5339,37459,91,1.56,1
u_001324,control,2024-11-29,KR,7807,46628,98,4.25,1
u_013335,test,2024-11-15,KR,6280,62518,96,6.7,1
u_005623,control,2024-11-11,KR,2552,21378,49,2.27,0
u_010890,control,2024-11-23,KR,5516,33976,54,3.08,0
u_000346,test,2024-11-16,KR,6675,64884,103,6.17,1
u_013612,test,2024-11-12,KR,8264,59854,121,5.12,0
u_000370,control,2024-11-30,JP,8435,68286,136,6.78,0
u_007621,control,2024-12-02,KR,6274,35612,83,3.84,0
u_010774,control,2024-12-24,US,4393,33718,63,3.07,1
u_006437,test,2024-11-22,KR,4277,35002,70,3.15,1
u_014458,control,2024-12-17,JP,4433,25146,44,0.78,0
u_001535,test,2024-12-31,JP,2330,15702,23,1.04,1
u_014450,control,2024-11-19,KR,5192,40363,87,3.24,1
u_002759,control,2024-11-01,US,3245,25701,49,2.06,0
u_009705,control,2024-12-16,US,4629,34440,82,1.98,0
u_001898,control,2024-12-30,JP,6136,45854,80,4.11,0
u_014094,test,2024-11-30,JP,5713,45588,93,1.72,0
u_010238,control,2024-11-19,JP,5166,39650,75,1.0,1
u_012641,test,2024-12-28,KR,4391,35303,84,1.03,0
u_010055,control,2024-11-20,JP,8912,49979,96,4.58,1
u_003355,control,2024-11-28,JP,4658,26593,62,1.35,1
u_008477,test,2024-11-28,KR,6461,48417,75,2.3,0
u_012786,test,2024-11-07,JP,6029,36896,80,1.83,0
u_012724,test,2024-11-06,KR,3171,21125,48,1.95,1
u_007666,control,2024-12-02,KR,6339,46470,92,3.79,0
u_012093,control,2024-11-13,KR,6712,38833,75,2.89,1
u_008611,test,2024-11-02,KR,6422,43543,67,3.03,0
u_013732,control,2024-12-23,KR,6280,48345,114,1.31,1
u_011381,test,2024-11-04,JP,2921,27518,68,2.27,0
u_010593,control,2024-12-06,JP,4006,30447,52,2.67,0
u_014005,test,2024-11-19,KR,7973,57299,91,2.89,1
u_005832,control,2024-12-29,KR,3468,29888,48,3.09,0
u_013693,test,2024-12-14,US,3994,35396,86,1.56,1
u_010561,test,2024-12-19,KR,4850,36320,58,3.7,1
u_011203,control,2024-11-25,JP,6950,42048,87,3.12,1
u_000893,control,2024-11-18,KR,6085,48285,87,2.07,1
u_002131,test,2024-11-04,KR,4338,26060,44,2.79,1
u_005581,test,2024-12-05,KR,8612,64469,158,3.69,1
u_004466,test,2024-12-03,US,4387,43627,82,3.5,1
u_011069,control,2024-11-10,KR,5744,38996,96,4.29,1
u_013575,control,2024-12-10,KR,5420,38631,83,1.6,1
u_004563,test,2024-11-26,JP,7201,44253,78,3.14,1
u_006860,test,2024-11-04,JP,3113,20810,31,0.54,1
u_012464,control,2024-12-03,KR,8558,51607,95,3.08,1
u_005257,test,2024-12-25,KR,7213,54806,115,5.8,0
u_009056,control,2024-11-01,JP,4576,26125,51,1.27,0
u_005400,test,2024-11-04,JP,7009,56213,130,4.87,1
u_000979,test,2024-11-23,KR,5190,31043,65,2.55,1
u_003588,control,2024-11-10,KR,4361,28390,47,2.06,1
u_000647,test,2024-11-16,US,6061,56333,123,2.67,1
u_004038,test,2024-12-18,KR,4660,40267,63,3.24,1
u_006633,control,2024-11-20,KR,3035,19593,36,1.09,1
u_002761,control,2024-11-09,US,3734,24600,46,0.91,0
u_001201,control,2024-11-18,US,3590,24975,42,2.22,0
u_004606,test,2024-12-12,KR,5692,46859,74,4.11,1
u_009512,test,2024-11-21,KR,2527,17895,38,0.92,1
u_013105,control,2024-11-07,KR,4658,23917,58,2.42,0
u_001170,test,2024-12-19,KR,6030,46933,95,4.14,1
u_005937,test,2024-11-04,KR,8557,81434,142,4.03,1
u_008183,test,2024-11-12,JP,4489,32720,66,1.99,1
u_009685,control,2024-12-21,JP,5752,37981,86,2.75,0
u_000579,test,2024-12-20,US,6283,55848,126,4.98,1
u_009376,test,2024-11-29,KR,1439,11901,18,0.67,0
u_010054,test,2024-11-28,KR,7542,68396,115,1.95,1
u_012676,control,2024-12-22,KR,4311,31718,49,1.31,1
u_010854,test,2024-11-16,JP,5807,50521,86,1.78,1
