date,country,platform,ad_network,impressions,clicks,revenue
2025-01-02,US,ios,AdNetworkB,36279,2903,177.82
2025-01-02,US,ios,AdNetworkC,20270,1368,308.37
2025-01-02,US,ios,AdNetworkD,28165,2474,275.0
2025-01-03,KR,android,AdNetworkA,23543,495,390.58
2025-01-03,KR,android,AdNetworkB,19603,1229,260.35
2025-01-03,KR,android,AdNetworkC,34526,1566,484.36
2025-01-03,KR,android,AdNetworkD,26911,1137,483.82
2025-01-03,KR,ios,AdNetworkA,43223,3006,776.62
2025-01-03,KR,ios,AdNetworkB,27182,1229,446.29
2025-01-03,KR,ios,AdNetworkC,45611,1280,393.16
2025-01-03,KR,ios,AdNetworkD,54474,3462,767.78
2025-01-03,JP,android,AdNetworkA,32851,2743,382.66
2025-01-03,JP,android,AdNetworkB,27374,1941,186.85
2025-01-03,JP,android,AdNetworkC,51139,2008,613.97
2025-01-03,JP,android,AdNetworkD,41060,3052,457.47
2025-01-03,JP,ios,AdNetworkA,8895,692,147.74
2025-01-03,JP,ios,AdNetworkB,7664,541,111.47
2025-01-03,JP,ios,AdNetworkC,6059,456,85.04
2025-01-03,JP,ios,AdNetworkD,50996,1329,324.9
2025-01-03,US,android,AdNetworkA,16283,730,69.66
2025-01-03,US,android,AdNetworkB,49690,3053,462.35
2025-01-03,US,android,AdNetworkC,45735,2978,452.47
2025-01-03,US,android,AdNetworkD,43803,3004,624.73
2025-01-03,US,ios,AdNetworkA,8734,498,55.37
2025-01-03,US,ios,AdNetworkB,38718,1420,615.03
2025-01-03,US,ios,AdNetworkC,46016,1564,295.97
2025-01-03,US,ios,AdNetworkD,20877,1804,94.27
2025-01-04,KR,android,AdNetworkA,24880,1827,333.33
2025-01-04,KR,android,AdNetworkB,53940,3881,698.69
2025-01-04,KR,android,AdNetworkC,36514,1054,335.18
2025-01-04,KR,android,AdNetworkD,20269,1120,328.49
2025-01-04,KR,ios,AdNetworkA,39514,3422,428.59
2025-01-04,KR,ios,AdNetworkB,38121,1028,137.25
2025-01-04,KR,ios,AdNetworkC,24180,1301,258.41
2025-01-04,KR,ios,AdNetworkD,20824,1389,216.13
2025-01-04,JP,android,AdNetworkA,36118,1633,337.7
2025-01-04,JP,android,AdNetworkB,15142,523,213.91
2025-01-04,JP,android,AdNetworkC,50120,2818,282.87
2025-01-04,JP,android,AdNetworkD,26920,1230,269.56
2025-01-04,JP,ios,AdNetworkA,40623,3598,267.23
2025-01-04,JP,ios,AdNetworkB,7740,280,108.32
2025-01-04,JP,ios,AdNetworkC,48563,3140,368.8
2025-01-04,JP,ios,AdNetworkD,16996,934,183.83
2025-01-04,US,android,AdNetworkA,46245,2529,327.58
2025-01-04,US,android,AdNetworkB,59708,1716,328.17
2025-01-04,US,android,AdNetworkC,48770,3791,162.99
2025-01-04,US,android,AdNetworkD,26283,1143,400.51
2025-01-04,US,ios,AdNetworkA,41424,3171,436.28
2025-01-04,US,ios,AdNetworkB,18419,505,239.15
2025-01-04,US,ios,AdNetworkC,43173,1941,446.33
2025-01-04,US,ios,AdNetworkD,53941,3698,675.7
2025-01-05,KR,android,AdNetworkA,32829,2191,505.22
2025-01-05,KR,android,AdNetworkB,45550,2938,513.47
2025-01-05,KR,android,AdNetworkC,25150,1663,425.75
2025-01-05,KR,android,AdNetworkD,39587,3325,267.97
2025-01-05,KR,ios,AdNetworkA,43403,3135,208.03
2025-01-05,KR,ios,AdNetworkB,29370,1318,251.95
2025-01-05,KR,ios,AdNetworkC,16041,489,77.02
2025-01-05,KR,ios,AdNetworkD,13219,932,97.19
2025-01-05,JP,android,AdNetworkA,50305,4362,741.29
2025-01-05,JP,android,AdNetworkB,28821,807,93.54
2025-01-05,JP,android,AdNetworkC,56692,3967,850.75
2025-01-05,JP,android,AdNetworkD,14814,872,263.64
2025-01-05,JP,ios,AdNetworkA,47210,2406,799.14
2025-01-05,JP,ios,AdNetworkB,44180,3891,746.52
2025-01-05,JP,ios,AdNetworkC,6161,206,108.67
2025-01-05,JP,ios,AdNetworkD,6596,152,85.22
2025-01-05,US,android,AdNetworkA,49243,1801,254.78
2025-01-05,US,android,AdNetworkB,12581,553,174.75
2025-01-05,US,android,AdNetworkC,32790,851,133.41
2025-01-05,US,android,AdNetworkD,16216,1457,245.09
2025-01-05,US,ios,AdNetworkA,39240,2627,628.66
2025-01-05,US,ios,AdNetworkB,7693,495,135.49
2025-01-05,US,ios,AdNetworkC,30073,2056,210.11
2025-01-05,US,ios,AdNetworkD,17765,1527,276.13
2025-01-06,KR,android,AdNetworkA,45182,1028,761.01
2025-01-06,KR,android,AdNetworkB,49965,1330,674.75
2025-01-06,KR,android,AdNetworkC,58616,4836,339.45
2025-01-06,KR,android,AdNetworkD,36655,2326,327.78
2025-01-06,KR,ios,AdNetworkA,44113,3823,331.76
2025-01-06,KR,ios,AdNetworkB,26810,788,115.07
2025-01-06,KR,ios,AdNetworkC,6602,141,87.7
2025-01-06,KR,ios,AdNetworkD,27151,2138,329.38
2025-01-06,JP,android,AdNetworkA,46086,3027,429.14
2025-01-06,JP,android,AdNetworkB,31959,1375,435.68
2025-01-06,JP,android,AdNetworkC,56060,3522,550.24
2025-01-06,JP,android,AdNetworkD,43111,3127,402.18
2025-01-06,JP,ios,AdNetworkA,23301,1321,106.07
2025-01-06,JP,ios,AdNetworkB,55364,2437,658.25
2025-01-06,JP,ios,AdNetworkC,30494,1844,190.55
2025-01-06,JP,ios,AdNetworkD,45830,929,143.66
2025-01-06,US,android,AdNetworkA,37089,2390,567.94
2025-01-06,US,android,AdNetworkB,35417,2304,114.02
2025-01-06,US,android,AdNetworkC,35822,1148,204.0
2025-01-06,US,android,AdNetworkD,45444,3037,220.23
2025-01-06,US,ios,AdNetworkA,58795,5192,823.22
2025-01-06,US,ios,AdNetworkB,39753,2097,398.22
2025-01-06,US,ios,AdNetworkC,56611,1476,270.05
2025-01-06,US,ios,AdNetworkD,26771,2005,336.53
2025-01-07,KR,android,AdNetworkA,49850,2246,241.25
2025-01-07,KR,android,AdNetworkB,30515,768,477.46
2025-01-07,KR,android,AdNetworkC,15559,673,158.32
2025-01-07,KR,android,AdNetworkD,32554,2234,258.65
2025-01-07,KR,ios,AdNetworkA,28203,1144,84.69
2025-01-07,KR,ios,AdNetworkB,26171,1800,160.83
2025-01-07,KR,ios,AdNetworkC,14699,810,159.17
2025-01-07,KR,ios,AdNetworkD,39707,2140,276.61
2025-01-07,JP,android,AdNetworkA,15922,392,54.72
2025-01-07,JP,android,AdNetworkB,34389,694,402.92
2025-01-07,JP,android,AdNetworkC,5197,456,69.12
2025-01-07,JP,android,AdNetworkD,59035,2070,305.49
2025-01-07,JP,ios,AdNetworkA,49738,2875,892.97
2025-01-07,JP,ios,AdNetworkB,36376,3166,460.68
2025-01-07,JP,ios,AdNetworkC,29088,1439,92.72
2025-01-07,JP,ios,AdNetworkD,20497,627,113.37
2025-01-07,US,android,AdNetworkA,31708,906,297.49
2025-01-07,US,android,AdNetworkB,56637,3827,705.43
2025-01-07,US,android,AdNetworkC,14080,395,122.79
2025-01-07,US,android,AdNetworkD,17344,450,162.51
2025-01-07,US,ios,AdNetworkA,17836,850,230.35
2025-01-07,US,ios,AdNetworkB,8024,514,87.54
2025-01-07,US,ios,AdNetworkC,46877,3075,372.89
2025-01-07,US,ios,AdNetworkD,10075,756,42.16
